n;m;min_makespan;avg_makespan;max_makespan;min_time;avg_time;max_time
10;10;94;107.1;119;0.002940200036391616;0.002980699995532632;0.003032099921256304
10;20;151;164.2;181;0.005616200040094554;0.005732269992586225;0.005864699953235686
10;5;68;76.9;90;0.0015376999508589506;0.001560300006531179;0.0015882999869063497
20;10;151;161.0;170;0.018449799972586334;0.018822100025136023;0.019220100017264485
20;20;215;227.1;237;0.03503390005789697;0.03645612000254914;0.03764150000642985
20;5;115;128.2;146;0.008866899996064603;0.009042919985949993;0.009415099979378283
30;10;203;209.2;221;0.05581659998279065;0.05727768000215292;0.06025570002384484
30;20;271;284.9;296;0.11040310002863407;0.11280790999298915;0.11696789995767176
30;5;164;179.3;196;0.02739159995689988;0.02821478999685496;0.030354700051248074
50;10;304;312.7;320;0.2459468999877572;0.24983571999473497;0.25481039995793253
50;20;380;392.8;402;0.4960663999663666;0.5031041799928062;0.5143616000423208
50;5;255;276.9;288;0.12009810004383326;0.12327833999879659;0.1281237000366673
5;10;76;84.2;94;0.0005645999917760491;0.0006017199950292707;0.0006659999489784241
5;20;123;133.6;147;0.001065300079062581;0.0011077499948441982;0.0011715000728145242
5;5;41;48.9;61;0.0003733999328687787;0.0003825300023891032;0.00041390000842511654